Ten-Year Age Groups	Ten-Year Age Groups Code	Multiple Cause of death	Multiple Cause of death Code	Year	Year Code	Deaths	Population	Crude Rate
< 1 year	1	Opium	T40.0	1999	1999	0	3795762	Unreliable
< 1 year	1	Opium	T40.0	2000	2000	0	3805648	Unreliable
< 1 year	1	Opium	T40.0	2001	2001	0	4012658	Unreliable
< 1 year	1	Opium	T40.0	2002	2002	0	3951461	Unreliable
< 1 year	1	Opium	T40.0	2003	2003	0	3975871	Unreliable
< 1 year	1	Opium	T40.0	2004	2004	0	4014258	Unreliable
< 1 year	1	Opium	T40.0	2005	2005	0	4004393	Unreliable
< 1 year	1	Opium	T40.0	2006	2006	0	4041738	Unreliable
< 1 year	1	Opium	T40.0	2007	2007	0	4147997	Unreliable
< 1 year	1	Opium	T40.0	2008	2008	0	4132735	Unreliable
< 1 year	1	Opium	T40.0	2009	2009	0	4003587	Unreliable
< 1 year	1	Opium	T40.0	2010	2010	0	3944153	Unreliable
< 1 year	1	Opium	T40.0	2011	2011	0	3996537	Unreliable
< 1 year	1	Opium	T40.0	2012	2012	0	3943077	Unreliable
< 1 year	1	Opium	T40.0	2013	2013	0	3941783	Unreliable
< 1 year	1	Opium	T40.0	2014	2014	0	3948350	Unreliable
< 1 year	1	Opium	T40.0	2015	2015	0	3978038	Unreliable
< 1 year	1	Opium	T40.0	2016	2016	0	3970145	Unreliable
< 1 year	1	Opium	T40.0	2017	2017	0	3939295	Unreliable
< 1 year	1	Opium	T40.0	2018	2018	0	3848208	Unreliable
< 1 year	1	Opium	T40.0	2019	2019	0	3783052	Unreliable
< 1 year	1	Heroin	T40.1	1999	1999	0	3795762	Unreliable
< 1 year	1	Heroin	T40.1	2000	2000	0	3805648	Unreliable
< 1 year	1	Heroin	T40.1	2001	2001	0	4012658	Unreliable
< 1 year	1	Heroin	T40.1	2002	2002	0	3951461	Unreliable
< 1 year	1	Heroin	T40.1	2003	2003	0	3975871	Unreliable
< 1 year	1	Heroin	T40.1	2004	2004	0	4014258	Unreliable
< 1 year	1	Heroin	T40.1	2005	2005	1	4004393	Unreliable
< 1 year	1	Heroin	T40.1	2006	2006	1	4041738	Unreliable
< 1 year	1	Heroin	T40.1	2007	2007	0	4147997	Unreliable
< 1 year	1	Heroin	T40.1	2008	2008	0	4132735	Unreliable
< 1 year	1	Heroin	T40.1	2009	2009	0	4003587	Unreliable
< 1 year	1	Heroin	T40.1	2010	2010	0	3944153	Unreliable
< 1 year	1	Heroin	T40.1	2011	2011	1	3996537	Unreliable
< 1 year	1	Heroin	T40.1	2012	2012	2	3943077	Unreliable
< 1 year	1	Heroin	T40.1	2013	2013	0	3941783	Unreliable
< 1 year	1	Heroin	T40.1	2014	2014	0	3948350	Unreliable
< 1 year	1	Heroin	T40.1	2015	2015	1	3978038	Unreliable
< 1 year	1	Heroin	T40.1	2016	2016	1	3970145	Unreliable
< 1 year	1	Heroin	T40.1	2017	2017	1	3939295	Unreliable
< 1 year	1	Heroin	T40.1	2018	2018	4	3848208	Unreliable
< 1 year	1	Heroin	T40.1	2019	2019	4	3783052	Unreliable
< 1 year	1	Other opioids	T40.2	1999	1999	2	3795762	Unreliable
< 1 year	1	Other opioids	T40.2	2000	2000	5	3805648	Unreliable
< 1 year	1	Other opioids	T40.2	2001	2001	4	4012658	Unreliable
< 1 year	1	Other opioids	T40.2	2002	2002	5	3951461	Unreliable
< 1 year	1	Other opioids	T40.2	2003	2003	5	3975871	Unreliable
< 1 year	1	Other opioids	T40.2	2004	2004	4	4014258	Unreliable
< 1 year	1	Other opioids	T40.2	2005	2005	3	4004393	Unreliable
< 1 year	1	Other opioids	T40.2	2006	2006	4	4041738	Unreliable
< 1 year	1	Other opioids	T40.2	2007	2007	6	4147997	Unreliable
< 1 year	1	Other opioids	T40.2	2008	2008	1	4132735	Unreliable
< 1 year	1	Other opioids	T40.2	2009	2009	3	4003587	Unreliable
< 1 year	1	Other opioids	T40.2	2010	2010	8	3944153	Unreliable
< 1 year	1	Other opioids	T40.2	2011	2011	7	3996537	Unreliable
< 1 year	1	Other opioids	T40.2	2012	2012	12	3943077	Unreliable
< 1 year	1	Other opioids	T40.2	2013	2013	7	3941783	Unreliable
< 1 year	1	Other opioids	T40.2	2014	2014	4	3948350	Unreliable
< 1 year	1	Other opioids	T40.2	2015	2015	6	3978038	Unreliable
< 1 year	1	Other opioids	T40.2	2016	2016	7	3970145	Unreliable
< 1 year	1	Other opioids	T40.2	2017	2017	7	3939295	Unreliable
< 1 year	1	Other opioids	T40.2	2018	2018	5	3848208	Unreliable
< 1 year	1	Other opioids	T40.2	2019	2019	5	3783052	Unreliable
< 1 year	1	Methadone	T40.3	1999	1999	1	3795762	Unreliable
< 1 year	1	Methadone	T40.3	2000	2000	1	3805648	Unreliable
< 1 year	1	Methadone	T40.3	2001	2001	1	4012658	Unreliable
< 1 year	1	Methadone	T40.3	2002	2002	3	3951461	Unreliable
< 1 year	1	Methadone	T40.3	2003	2003	1	3975871	Unreliable
< 1 year	1	Methadone	T40.3	2004	2004	6	4014258	Unreliable
< 1 year	1	Methadone	T40.3	2005	2005	4	4004393	Unreliable
< 1 year	1	Methadone	T40.3	2006	2006	4	4041738	Unreliable
< 1 year	1	Methadone	T40.3	2007	2007	5	4147997	Unreliable
< 1 year	1	Methadone	T40.3	2008	2008	7	4132735	Unreliable
< 1 year	1	Methadone	T40.3	2009	2009	5	4003587	Unreliable
< 1 year	1	Methadone	T40.3	2010	2010	5	3944153	Unreliable
< 1 year	1	Methadone	T40.3	2011	2011	1	3996537	Unreliable
< 1 year	1	Methadone	T40.3	2012	2012	3	3943077	Unreliable
< 1 year	1	Methadone	T40.3	2013	2013	2	3941783	Unreliable
< 1 year	1	Methadone	T40.3	2014	2014	2	3948350	Unreliable
< 1 year	1	Methadone	T40.3	2015	2015	5	3978038	Unreliable
< 1 year	1	Methadone	T40.3	2016	2016	4	3970145	Unreliable
< 1 year	1	Methadone	T40.3	2017	2017	5	3939295	Unreliable
< 1 year	1	Methadone	T40.3	2018	2018	4	3848208	Unreliable
< 1 year	1	Methadone	T40.3	2019	2019	9	3783052	Unreliable
< 1 year	1	Other synthetic narcotics	T40.4	1999	1999	2	3795762	Unreliable
< 1 year	1	Other synthetic narcotics	T40.4	2000	2000	1	3805648	Unreliable
< 1 year	1	Other synthetic narcotics	T40.4	2001	2001	0	4012658	Unreliable
< 1 year	1	Other synthetic narcotics	T40.4	2002	2002	0	3951461	Unreliable
< 1 year	1	Other synthetic narcotics	T40.4	2003	2003	1	3975871	Unreliable
< 1 year	1	Other synthetic narcotics	T40.4	2004	2004	0	4014258	Unreliable
< 1 year	1	Other synthetic narcotics	T40.4	2005	2005	0	4004393	Unreliable
< 1 year	1	Other synthetic narcotics	T40.4	2006	2006	3	4041738	Unreliable
< 1 year	1	Other synthetic narcotics	T40.4	2007	2007	0	4147997	Unreliable
< 1 year	1	Other synthetic narcotics	T40.4	2008	2008	1	4132735	Unreliable
< 1 year	1	Other synthetic narcotics	T40.4	2009	2009	1	4003587	Unreliable
< 1 year	1	Other synthetic narcotics	T40.4	2010	2010	0	3944153	Unreliable
< 1 year	1	Other synthetic narcotics	T40.4	2011	2011	4	3996537	Unreliable
< 1 year	1	Other synthetic narcotics	T40.4	2012	2012	3	3943077	Unreliable
< 1 year	1	Other synthetic narcotics	T40.4	2013	2013	1	3941783	Unreliable
< 1 year	1	Other synthetic narcotics	T40.4	2014	2014	3	3948350	Unreliable
< 1 year	1	Other synthetic narcotics	T40.4	2015	2015	4	3978038	Unreliable
< 1 year	1	Other synthetic narcotics	T40.4	2016	2016	3	3970145	Unreliable
< 1 year	1	Other synthetic narcotics	T40.4	2017	2017	8	3939295	Unreliable
< 1 year	1	Other synthetic narcotics	T40.4	2018	2018	7	3848208	Unreliable
< 1 year	1	Other synthetic narcotics	T40.4	2019	2019	12	3783052	Unreliable
< 1 year	1	Cocaine	T40.5	1999	1999	3	3795762	Unreliable
< 1 year	1	Cocaine	T40.5	2000	2000	5	3805648	Unreliable
< 1 year	1	Cocaine	T40.5	2001	2001	5	4012658	Unreliable
< 1 year	1	Cocaine	T40.5	2002	2002	3	3951461	Unreliable
< 1 year	1	Cocaine	T40.5	2003	2003	4	3975871	Unreliable
< 1 year	1	Cocaine	T40.5	2004	2004	0	4014258	Unreliable
< 1 year	1	Cocaine	T40.5	2005	2005	2	4004393	Unreliable
< 1 year	1	Cocaine	T40.5	2006	2006	8	4041738	Unreliable
< 1 year	1	Cocaine	T40.5	2007	2007	5	4147997	Unreliable
< 1 year	1	Cocaine	T40.5	2008	2008	4	4132735	Unreliable
< 1 year	1	Cocaine	T40.5	2009	2009	5	4003587	Unreliable
< 1 year	1	Cocaine	T40.5	2010	2010	3	3944153	Unreliable
< 1 year	1	Cocaine	T40.5	2011	2011	6	3996537	Unreliable
< 1 year	1	Cocaine	T40.5	2012	2012	2	3943077	Unreliable
< 1 year	1	Cocaine	T40.5	2013	2013	0	3941783	Unreliable
< 1 year	1	Cocaine	T40.5	2014	2014	3	3948350	Unreliable
< 1 year	1	Cocaine	T40.5	2015	2015	0	3978038	Unreliable
< 1 year	1	Cocaine	T40.5	2016	2016	5	3970145	Unreliable
< 1 year	1	Cocaine	T40.5	2017	2017	2	3939295	Unreliable
< 1 year	1	Cocaine	T40.5	2018	2018	5	3848208	Unreliable
< 1 year	1	Cocaine	T40.5	2019	2019	5	3783052	Unreliable
< 1 year	1	Other and unspecified narcotics	T40.6	1999	1999	1	3795762	Unreliable
< 1 year	1	Other and unspecified narcotics	T40.6	2000	2000	0	3805648	Unreliable
< 1 year	1	Other and unspecified narcotics	T40.6	2001	2001	2	4012658	Unreliable
< 1 year	1	Other and unspecified narcotics	T40.6	2002	2002	0	3951461	Unreliable
< 1 year	1	Other and unspecified narcotics	T40.6	2003	2003	1	3975871	Unreliable
< 1 year	1	Other and unspecified narcotics	T40.6	2004	2004	0	4014258	Unreliable
< 1 year	1	Other and unspecified narcotics	T40.6	2005	2005	0	4004393	Unreliable
< 1 year	1	Other and unspecified narcotics	T40.6	2006	2006	1	4041738	Unreliable
< 1 year	1	Other and unspecified narcotics	T40.6	2007	2007	1	4147997	Unreliable
< 1 year	1	Other and unspecified narcotics	T40.6	2008	2008	1	4132735	Unreliable
< 1 year	1	Other and unspecified narcotics	T40.6	2009	2009	1	4003587	Unreliable
< 1 year	1	Other and unspecified narcotics	T40.6	2010	2010	1	3944153	Unreliable
< 1 year	1	Other and unspecified narcotics	T40.6	2011	2011	0	3996537	Unreliable
< 1 year	1	Other and unspecified narcotics	T40.6	2012	2012	0	3943077	Unreliable
< 1 year	1	Other and unspecified narcotics	T40.6	2013	2013	0	3941783	Unreliable
< 1 year	1	Other and unspecified narcotics	T40.6	2014	2014	0	3948350	Unreliable
< 1 year	1	Other and unspecified narcotics	T40.6	2015	2015	1	3978038	Unreliable
< 1 year	1	Other and unspecified narcotics	T40.6	2016	2016	2	3970145	Unreliable
< 1 year	1	Other and unspecified narcotics	T40.6	2017	2017	0	3939295	Unreliable
< 1 year	1	Other and unspecified narcotics	T40.6	2018	2018	0	3848208	Unreliable
< 1 year	1	Other and unspecified narcotics	T40.6	2019	2019	1	3783052	Unreliable
< 1 year	1	Cannabis (derivatives)	T40.7	1999	1999	0	3795762	Unreliable
< 1 year	1	Cannabis (derivatives)	T40.7	2000	2000	0	3805648	Unreliable
< 1 year	1	Cannabis (derivatives)	T40.7	2001	2001	0	4012658	Unreliable
< 1 year	1	Cannabis (derivatives)	T40.7	2002	2002	0	3951461	Unreliable
< 1 year	1	Cannabis (derivatives)	T40.7	2003	2003	0	3975871	Unreliable
< 1 year	1	Cannabis (derivatives)	T40.7	2004	2004	0	4014258	Unreliable
< 1 year	1	Cannabis (derivatives)	T40.7	2005	2005	0	4004393	Unreliable
< 1 year	1	Cannabis (derivatives)	T40.7	2006	2006	0	4041738	Unreliable
< 1 year	1	Cannabis (derivatives)	T40.7	2007	2007	1	4147997	Unreliable
< 1 year	1	Cannabis (derivatives)	T40.7	2008	2008	0	4132735	Unreliable
< 1 year	1	Cannabis (derivatives)	T40.7	2009	2009	0	4003587	Unreliable
< 1 year	1	Cannabis (derivatives)	T40.7	2010	2010	0	3944153	Unreliable
< 1 year	1	Cannabis (derivatives)	T40.7	2011	2011	0	3996537	Unreliable
< 1 year	1	Cannabis (derivatives)	T40.7	2012	2012	0	3943077	Unreliable
< 1 year	1	Cannabis (derivatives)	T40.7	2013	2013	0	3941783	Unreliable
< 1 year	1	Cannabis (derivatives)	T40.7	2014	2014	0	3948350	Unreliable
< 1 year	1	Cannabis (derivatives)	T40.7	2015	2015	0	3978038	Unreliable
< 1 year	1	Cannabis (derivatives)	T40.7	2016	2016	0	3970145	Unreliable
< 1 year	1	Cannabis (derivatives)	T40.7	2017	2017	0	3939295	Unreliable
< 1 year	1	Cannabis (derivatives)	T40.7	2018	2018	2	3848208	Unreliable
< 1 year	1	Cannabis (derivatives)	T40.7	2019	2019	0	3783052	Unreliable
< 1 year	1	Lysergide [LSD]	T40.8	1999	1999	0	3795762	Unreliable
< 1 year	1	Lysergide [LSD]	T40.8	2000	2000	0	3805648	Unreliable
< 1 year	1	Lysergide [LSD]	T40.8	2001	2001	0	4012658	Unreliable
< 1 year	1	Lysergide [LSD]	T40.8	2002	2002	0	3951461	Unreliable
< 1 year	1	Lysergide [LSD]	T40.8	2003	2003	0	3975871	Unreliable
< 1 year	1	Lysergide [LSD]	T40.8	2004	2004	0	4014258	Unreliable
< 1 year	1	Lysergide [LSD]	T40.8	2005	2005	0	4004393	Unreliable
< 1 year	1	Lysergide [LSD]	T40.8	2006	2006	0	4041738	Unreliable
< 1 year	1	Lysergide [LSD]	T40.8	2007	2007	0	4147997	Unreliable
< 1 year	1	Lysergide [LSD]	T40.8	2008	2008	0	4132735	Unreliable
< 1 year	1	Lysergide [LSD]	T40.8	2009	2009	0	4003587	Unreliable
< 1 year	1	Lysergide [LSD]	T40.8	2010	2010	0	3944153	Unreliable
< 1 year	1	Lysergide [LSD]	T40.8	2011	2011	0	3996537	Unreliable
< 1 year	1	Lysergide [LSD]	T40.8	2012	2012	0	3943077	Unreliable
< 1 year	1	Lysergide [LSD]	T40.8	2013	2013	0	3941783	Unreliable
< 1 year	1	Lysergide [LSD]	T40.8	2014	2014	0	3948350	Unreliable
< 1 year	1	Lysergide [LSD]	T40.8	2015	2015	0	3978038	Unreliable
< 1 year	1	Lysergide [LSD]	T40.8	2016	2016	0	3970145	Unreliable
< 1 year	1	Lysergide [LSD]	T40.8	2017	2017	0	3939295	Unreliable
< 1 year	1	Lysergide [LSD]	T40.8	2018	2018	0	3848208	Unreliable
< 1 year	1	Lysergide [LSD]	T40.8	2019	2019	0	3783052	Unreliable
< 1 year	1	Other and unspecified psychodysleptics [hallucinogens]	T40.9	1999	1999	0	3795762	Unreliable
< 1 year	1	Other and unspecified psychodysleptics [hallucinogens]	T40.9	2000	2000	0	3805648	Unreliable
