Ten-Year Age Groups	Ten-Year Age Groups Code	Month	Month Code	Deaths
< 1 year	1	Jan., 2018	2018/01	2
< 1 year	1	Feb., 2018	2018/02	2
< 1 year	1	Mar., 2018	2018/03	3
< 1 year	1	Apr., 2018	2018/04	2
< 1 year	1	May, 2018	2018/05	3
< 1 year	1	Jun., 2018	2018/06	1
< 1 year	1	Jul., 2018	2018/07	2
< 1 year	1	Aug., 2018	2018/08	0
< 1 year	1	Sep., 2018	2018/09	1
< 1 year	1	Oct., 2018	2018/10	2
< 1 year	1	Nov., 2018	2018/11	3
< 1 year	1	Dec., 2018	2018/12	1
< 1 year	1	Jan., 2019	2019/01	4
< 1 year	1	Feb., 2019	2019/02	1
< 1 year	1	Mar., 2019	2019/03	2
< 1 year	1	Apr., 2019	2019/04	1
< 1 year	1	May, 2019	2019/05	1
< 1 year	1	Jun., 2019	2019/06	3
< 1 year	1	Jul., 2019	2019/07	2
< 1 year	1	Aug., 2019	2019/08	2
< 1 year	1	Sep., 2019	2019/09	4
< 1 year	1	Oct., 2019	2019/10	2
< 1 year	1	Nov., 2019	2019/11	2
< 1 year	1	Dec., 2019	2019/12	3
< 1 year	1	Jan., 2020 (provisional)	2020/01	2
< 1 year	1	Feb., 2020 (provisional)	2020/02	2
< 1 year	1	Mar., 2020 (provisional)	2020/03	0
< 1 year	1	Apr., 2020 (provisional)	2020/04	4
< 1 year	1	May, 2020 (provisional)	2020/05	4
< 1 year	1	Jun., 2020 (provisional)	2020/06	4
< 1 year	1	Jul., 2020 (provisional)	2020/07	3
< 1 year	1	Aug., 2020 (provisional)	2020/08	2
< 1 year	1	Sep., 2020 (provisional)	2020/09	1
< 1 year	1	Oct., 2020 (provisional)	2020/10	4
< 1 year	1	Nov., 2020 (provisional)	2020/11	1
< 1 year	1	Dec., 2020 (provisional)	2020/12	0
< 1 year	1	Jan., 2021 (provisional)	2021/01	2
< 1 year	1	Feb., 2021 (provisional)	2021/02	3
< 1 year	1	Mar., 2021 (provisional)	2021/03	0
< 1 year	1	Apr., 2021 (provisional)	2021/04	4
< 1 year	1	May, 2021 (provisional)	2021/05	6
< 1 year	1	Jun., 2021 (provisional)	2021/06	1
< 1 year	1	Jul., 2021 (provisional)	2021/07	1
< 1 year	1	Aug., 2021 (provisional)	2021/08	1
< 1 year	1	Sep., 2021 (provisional)	2021/09	2
< 1 year	1	Oct., 2021 (provisional)	2021/10	0
< 1 year	1	Nov., 2021 (provisional and partial)	2021/11	0
1-4 years	4-Jan	Jan., 2018	2018/01	1
1-4 years	4-Jan	Feb., 2018	2018/02	1
1-4 years	4-Jan	Mar., 2018	2018/03	3
1-4 years	4-Jan	Apr., 2018	2018/04	3
1-4 years	4-Jan	May, 2018	2018/05	4
1-4 years	4-Jan	Jun., 2018	2018/06	1
1-4 years	4-Jan	Jul., 2018	2018/07	4
