Ten-Year Age Groups	Ten-Year Age Groups Code	Year	Year Code	Deaths	Population	Crude Rate
< 1 year	1	2018	2018	22	3848208	0.6
< 1 year	1	2019	2019	27	3783052	0.7
< 1 year	1	2020 (provisional)	2020	27	3735010	0.7
< 1 year	1	2021 (provisional and partial)	2021	20	3735010	0.5
1-4 years	4-Jan	2018	2018	31	15962067	0.2
1-4 years	4-Jan	2019	2019	44	15793631	0.3
1-4 years	4-Jan	2020 (provisional)	2020	58	15566282	0.4
1-4 years	4-Jan	2021 (provisional and partial)	2021	56	15566282	0.4
5-14 years	14-May	2018	2018	24	41075169	0.1
5-14 years	14-May	2019	2019	35	40994163	0.1
5-14 years	14-May	2020 (provisional)	2020	65	40992134	0.2
5-14 years	14-May	2021 (provisional and partial)	2021	52	40992134	0.1
15-24 years	15-24	2018	2018	3880	42970800	9
15-24 years	15-24	2019	2019	3996	42687510	9.4
15-24 years	15-24	2020 (provisional)	2020	6305	42555684	14.8
15-24 years	15-24	2021 (provisional and partial)	2021	4603	42555684	10.8
25-34 years	25-34	2018	2018	13704	45697774	30
25-34 years	25-34	2019	2019	14197	45940321	30.9
25-34 years	25-34	2020 (provisional)	2020	19366	46069646	42
25-34 years	25-34	2021 (provisional and partial)	2021	14124	46069646	30.7
35-44 years	35-44	2018	2018	12559	41277888	30.4
35-44 years	35-44	2019	2019	13601	41659144	32.6
35-44 years	35-44	2020 (provisional)	2020	19057	42136192	45.2
35-44 years	35-44	2021 (provisional and partial)	2021	14771	42136192	35.1
45-54 years	45-54	2018	2018	11215	41631699	26.9
45-54 years	45-54	2019	2019	11636	40874902	28.5
45-54 years	45-54	2020 (provisional)	2020	15057	40366133	37.3
45-54 years	45-54	2021 (provisional and partial)	2021	11521	40366133	28.5
55-64 years	55-64	2018	2018	9143	42272636	21.6
55-64 years	55-64	2019	2019	9862	42448537	23.2
55-64 years	55-64	2020 (provisional)	2020	12512	42403677	29.5
55-64 years	55-64	2021 (provisional and partial)	2021	10043	42403677	23.7
65-74 years	65-74	2018	2018	2220	30492316	7.3
65-74 years	65-74	2019	2019	2586	31483433	8.2
65-74 years	65-74	2020 (provisional)	2020	3181	32549398	9.8
65-74 years	65-74	2021 (provisional and partial)	2021	2686	32549398	8.3
75-84 years	75-84	2018	2018	282	15394374	1.8
75-84 years	75-84	2019	2019	331	15969872	2.1
75-84 years	75-84	2020 (provisional)	2020	329	16451547	2
75-84 years	75-84	2021 (provisional and partial)	2021	268	16451547	1.6
85+ years	85+	2018	2018	84	6544503	1.3
85+ years	85+	2019	2019	85	6604958	1.3
85+ years	85+	2020 (provisional)	2020	88	6658420	1.3
85+ years	85+	2021 (provisional and partial)	2021	58	6658420	0.9
