Ten-Year Age Groups	Ten-Year Age Groups Code	Year	Year Code	Multiple Cause of death	Multiple Cause of death Code	Deaths	Population	Crude Rate
< 1 year	1	2020 (provisional)	2020	Opium	T40.0	0	3735010	Unreliable
< 1 year	1	2020 (provisional)	2020	Heroin	T40.1	2	3735010	Unreliable
< 1 year	1	2020 (provisional)	2020	Other opioids	T40.2	4	3735010	Unreliable
< 1 year	1	2020 (provisional)	2020	Methadone	T40.3	2	3735010	Unreliable
< 1 year	1	2020 (provisional)	2020	Other synthetic narcotics	T40.4	19	3735010	Unreliable
< 1 year	1	2020 (provisional)	2020	Cocaine	T40.5	3	3735010	Unreliable
< 1 year	1	2020 (provisional)	2020	Other and unspecified narcotics	T40.6	3	3735010	Unreliable
< 1 year	1	2020 (provisional)	2020	Cannabis (derivatives)	T40.7	1	3735010	Unreliable
< 1 year	1	2020 (provisional)	2020	Lysergide [LSD]	T40.8	0	3735010	Unreliable
< 1 year	1	2020 (provisional)	2020	Other and unspecified psychodysleptics [hallucinogens]	T40.9	0	3735010	Unreliable
< 1 year	1	2021 (provisional and partial)	2021	Opium	T40.0	0	3735010	Unreliable
< 1 year	1	2021 (provisional and partial)	2021	Heroin	T40.1	1	3735010	Unreliable
< 1 year	1	2021 (provisional and partial)	2021	Other opioids	T40.2	0	3735010	Unreliable
< 1 year	1	2021 (provisional and partial)	2021	Methadone	T40.3	2	3735010	Unreliable
< 1 year	1	2021 (provisional and partial)	2021	Other synthetic narcotics	T40.4	16	3735010	Unreliable
< 1 year	1	2021 (provisional and partial)	2021	Cocaine	T40.5	2	3735010	Unreliable
< 1 year	1	2021 (provisional and partial)	2021	Other and unspecified narcotics	T40.6	0	3735010	Unreliable
< 1 year	1	2021 (provisional and partial)	2021	Cannabis (derivatives)	T40.7	0	3735010	Unreliable
< 1 year	1	2021 (provisional and partial)	2021	Lysergide [LSD]	T40.8	0	3735010	Unreliable
< 1 year	1	2021 (provisional and partial)	2021	Other and unspecified psychodysleptics [hallucinogens]	T40.9	0	3735010	Unreliable
1-4 years	4-Jan	2020 (provisional)	2020	Opium	T40.0	0	15566282	Unreliable
1-4 years	4-Jan	2020 (provisional)	2020	Heroin	T40.1	2	15566282	Unreliable
1-4 years	4-Jan	2020 (provisional)	2020	Other opioids	T40.2	5	15566282	Unreliable
1-4 years	4-Jan	2020 (provisional)	2020	Methadone	T40.3	12	15566282	Unreliable
1-4 years	4-Jan	2020 (provisional)	2020	Other synthetic narcotics	T40.4	41	15566282	0.3
1-4 years	4-Jan	2020 (provisional)	2020	Cocaine	T40.5	1	15566282	Unreliable
1-4 years	4-Jan	2020 (provisional)	2020	Other and unspecified narcotics	T40.6	1	15566282	Unreliable
1-4 years	4-Jan	2020 (provisional)	2020	Cannabis (derivatives)	T40.7	0	15566282	Unreliable
1-4 years	4-Jan	2020 (provisional)	2020	Lysergide [LSD]	T40.8	0	15566282	Unreliable
1-4 years	4-Jan	2020 (provisional)	2020	Other and unspecified psychodysleptics [hallucinogens]	T40.9	0	15566282	Unreliable
1-4 years	4-Jan	2021 (provisional and partial)	2021	Opium	T40.0	0	15566282	Unreliable
1-4 years	4-Jan	2021 (provisional and partial)	2021	Heroin	T40.1	1	15566282	Unreliable
1-4 years	4-Jan	2021 (provisional and partial)	2021	Other opioids	T40.2	5	15566282	Unreliable
1-4 years	4-Jan	2021 (provisional and partial)	2021	Methadone	T40.3	4	15566282	Unreliable
1-4 years	4-Jan	2021 (provisional and partial)	2021	Other synthetic narcotics	T40.4	48	15566282	0.3
1-4 years	4-Jan	2021 (provisional and partial)	2021	Cocaine	T40.5	9	15566282	Unreliable
1-4 years	4-Jan	2021 (provisional and partial)	2021	Other and unspecified narcotics	T40.6	1	15566282	Unreliable
1-4 years	4-Jan	2021 (provisional and partial)	2021	Cannabis (derivatives)	T40.7	0	15566282	Unreliable
1-4 years	4-Jan	2021 (provisional and partial)	2021	Lysergide [LSD]	T40.8	0	15566282	Unreliable
1-4 years	4-Jan	2021 (provisional and partial)	2021	Other and unspecified psychodysleptics [hallucinogens]	T40.9	0	15566282	Unreliable
5-14 years	14-May	2020 (provisional)	2020	Opium	T40.0	0	40992134	Unreliable
5-14 years	14-May	2020 (provisional)	2020	Heroin	T40.1	2	40992134	Unreliable
5-14 years	14-May	2020 (provisional)	2020	Other opioids	T40.2	15	40992134	Unreliable
5-14 years	14-May	2020 (provisional)	2020	Methadone	T40.3	5	40992134	Unreliable
5-14 years	14-May	2020 (provisional)	2020	Other synthetic narcotics	T40.4	43	40992134	0.1
5-14 years	14-May	2020 (provisional)	2020	Cocaine	T40.5	1	40992134	Unreliable
5-14 years	14-May	2020 (provisional)	2020	Other and unspecified narcotics	T40.6	0	40992134	Unreliable
5-14 years	14-May	2020 (provisional)	2020	Cannabis (derivatives)	T40.7	3	40992134	Unreliable
5-14 years	14-May	2020 (provisional)	2020	Lysergide [LSD]	T40.8	0	40992134	Unreliable
5-14 years	14-May	2020 (provisional)	2020	Other and unspecified psychodysleptics [hallucinogens]	T40.9	0	40992134	Unreliable
5-14 years	14-May	2021 (provisional and partial)	2021	Opium	T40.0	0	40992134	Unreliable
5-14 years	14-May	2021 (provisional and partial)	2021	Heroin	T40.1	3	40992134	Unreliable
5-14 years	14-May	2021 (provisional and partial)	2021	Other opioids	T40.2	6	40992134	Unreliable
5-14 years	14-May	2021 (provisional and partial)	2021	Methadone	T40.3	6	40992134	Unreliable
5-14 years	14-May	2021 (provisional and partial)	2021	Other synthetic narcotics	T40.4	42	40992134	0.1
5-14 years	14-May	2021 (provisional and partial)	2021	Cocaine	T40.5	2	40992134	Unreliable
5-14 years	14-May	2021 (provisional and partial)	2021	Other and unspecified narcotics	T40.6	0	40992134	Unreliable
5-14 years	14-May	2021 (provisional and partial)	2021	Cannabis (derivatives)	T40.7	1	40992134	Unreliable
5-14 years	14-May	2021 (provisional and partial)	2021	Lysergide [LSD]	T40.8	0	40992134	Unreliable
5-14 years	14-May	2021 (provisional and partial)	2021	Other and unspecified psychodysleptics [hallucinogens]	T40.9	0	40992134	Unreliable
15-24 years	15-24	2020 (provisional)	2020	Opium	T40.0	0	42555684	Unreliable
15-24 years	15-24	2020 (provisional)	2020	Heroin	T40.1	727	42555684	1.7
15-24 years	15-24	2020 (provisional)	2020	Other opioids	T40.2	711	42555684	1.7
15-24 years	15-24	2020 (provisional)	2020	Methadone	T40.3	135	42555684	0.3
15-24 years	15-24	2020 (provisional)	2020	Other synthetic narcotics	T40.4	5477	42555684	12.9
15-24 years	15-24	2020 (provisional)	2020	Cocaine	T40.5	1133	42555684	2.7
15-24 years	15-24	2020 (provisional)	2020	Other and unspecified narcotics	T40.6	94	42555684	0.2
15-24 years	15-24	2020 (provisional)	2020	Cannabis (derivatives)	T40.7	202	42555684	0.5
15-24 years	15-24	2020 (provisional)	2020	Lysergide [LSD]	T40.8	13	42555684	Unreliable
15-24 years	15-24	2020 (provisional)	2020	Other and unspecified psychodysleptics [hallucinogens]	T40.9	8	42555684	Unreliable
15-24 years	15-24	2021 (provisional and partial)	2021	Opium	T40.0	0	42555684	Unreliable
15-24 years	15-24	2021 (provisional and partial)	2021	Heroin	T40.1	265	42555684	0.6
15-24 years	15-24	2021 (provisional and partial)	2021	Other opioids	T40.2	433	42555684	1
15-24 years	15-24	2021 (provisional and partial)	2021	Methadone	T40.3	43	42555684	0.1
15-24 years	15-24	2021 (provisional and partial)	2021	Other synthetic narcotics	T40.4	4163	42555684	9.8
15-24 years	15-24	2021 (provisional and partial)	2021	Cocaine	T40.5	785	42555684	1.8
15-24 years	15-24	2021 (provisional and partial)	2021	Other and unspecified narcotics	T40.6	62	42555684	0.1
15-24 years	15-24	2021 (provisional and partial)	2021	Cannabis (derivatives)	T40.7	145	42555684	0.3
15-24 years	15-24	2021 (provisional and partial)	2021	Lysergide [LSD]	T40.8	7	42555684	Unreliable
15-24 years	15-24	2021 (provisional and partial)	2021	Other and unspecified psychodysleptics [hallucinogens]	T40.9	4	42555684	Unreliable
25-34 years	25-34	2020 (provisional)	2020	Opium	T40.0	1	46069646	Unreliable
25-34 years	25-34	2020 (provisional)	2020	Heroin	T40.1	3655	46069646	7.9
25-34 years	25-34	2020 (provisional)	2020	Other opioids	T40.2	2859	46069646	6.2
25-34 years	25-34	2020 (provisional)	2020	Methadone	T40.3	635	46069646	1.4
25-34 years	25-34	2020 (provisional)	2020	Other synthetic narcotics	T40.4	16150	46069646	35.1
25-34 years	25-34	2020 (provisional)	2020	Cocaine	T40.5	4513	46069646	9.8
25-34 years	25-34	2020 (provisional)	2020	Other and unspecified narcotics	T40.6	434	46069646	0.9
25-34 years	25-34	2020 (provisional)	2020	Cannabis (derivatives)	T40.7	386	46069646	0.8
25-34 years	25-34	2020 (provisional)	2020	Lysergide [LSD]	T40.8	10	46069646	Unreliable
